trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,9,-30.94598304584462,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-64.28060591633641,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,9.924828647751408,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,12,-53.465439084486064,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",25,0,-131.39526054338776,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-62.77391479603869,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-30.48027618432989,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-117.03695363243234,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",30,16,-41.63291365823801,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",35,7,-149.00568948729722,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-50.69064059936219,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-149.89807979327992,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",35,4,-76.50681402629986,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,13,11.183490329439543,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,0,-238.740415623159,"{0: 17, 1: 6, 2: 1, 3: 1, 4: 5}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,8,10.49076942101231,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,0,-75.96022592216238,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,6,13.610479420586952,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,0,-0.6645888623208314,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-128.4793907935322,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",30,14,-2.3041610983386676,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,9.869946436906263,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",35,23,-37.195457483945404,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-84.266721387543,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,13,7.331366037178143,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-58.34666408949205,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,-88.68918655222238,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
