trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,0,-31.8053184178225,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,20,20.49245049193369,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-30.03767067273486,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,18,12.643694411726388,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,0,12.507107650744647,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,12,13.012990293332972,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,17,16.61188488378756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,18.377569694309592,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,20,12.00392977229157,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",30,16,24.22044376982271,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,0,-76.43739971910142,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",35,16,12.575221759983133,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,3,26.47732721606336,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,0,-23.107407792211124,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,0,24.444656851400605,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,9,-13.754042459170112,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",35,0,-29.76440575458847,"{0: 27, 1: 3, 2: 5, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,11,-55.11575122574064,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",30,18,-96.79574377755135,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,3,-16.898810813115382,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,12,-0.049455764476910025,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,1,20.838402835858176,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,14,1.6263001722231627,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,8,36.62341849402136,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,0,-24.27327433755586,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,10,7.23874817099119,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,-84.25795293726183,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,12,15.174924093651235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",30,0,-48.245545405241366,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,0,-33.458721576082695,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,0,-23.975044751584395,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,10,14.167737717890656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,17,12.58333014455112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",35,17,-65.35560537120449,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,3,23.645656151044268,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,3,11.12456642755073,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",25,11,-0.09905425082040598,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",30,8,40.20786073429164,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,16,6.123488715850957,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,12,15.777459704676357,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,3,-18.131698634508666,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,12,-3.7266045857617107,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",30,8,30.32202810276256,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,16,6.1406214232955465,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",35,23,9.885618217057985,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",30,10,16.511709922919344,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,11,17.55190709709836,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,13,24.688424354603157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,8,0.8434796231262325,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,16,8.706874056383624,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,8,34.26492563229989,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,14,9.407623903285085,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
